AnimalID,Day of Death,Terminal BW (g),Adrenal Glands Wt. (g),Adrenal Glands:BR (%),Adrenal Glands:TBW (%),Brain Weight (g),Brain: TBW (%),Epididymis Weight (g),Epididymis: BR (%),Epididymis: TBW (%),Heart Weight (g),Heart: BR (%),Heart: TBW (%),Kidneys Weight (g),Kidneys: BR (%),Kidneys:TBW (%),Liver Weight (g),Liver: BR (%),Liver:TBW (%),Spleen Weight (g),Spleen: BR (%),Spleen:TBW (%),Testes Weight (g),Testes: BR (%),Testes:TBW (%),Thymus Weight (g),Thymus: BR (%),Thymus:TBW (%),Group,Sex,Ovaries Weight (g),Ovaries: BR (%),Ovaries:TBW (%)
206,2,260.2,0.0416,2.193,0.016,1.8966,0.729,0.5334,28.124,0.205,1.0473,55.220,0.402,1.8530,97.701,0.712,8.4551,445.803,3.249,0.6438,33.945,0.247,2.7353,144.221,1.051,0.4840,25.519,0.186,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
207,2,296.4,0.0487,2.441,0.016,1.9950,0.673,0.6487,32.516,0.219,1.4406,72.211,0.486,2.1113,105.830,0.712,9.9176,497.123,3.346,0.6453,32.346,0.218,3.0864,154.707,1.041,0.6677,33.469,0.225,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
208,2,275.7,0.0482,2.133,0.017,2.2602,0.820,0.5513,24.392,0.200,1.3273,58.725,0.481,2.0892,92.434,0.758,8.9476,395.876,3.245,0.5101,22.569,0.185,2.8165,124.613,1.022,0.7834,34.661,0.284,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
209,2,287.9,0.0520,2.515,0.018,2.0673,0.718,0.5360,25.928,0.186,1.5226,73.652,0.529,2.4931,120.597,0.866,10.3139,498.907,3.582,0.7144,34.557,0.248,2.9557,142.974,1.027,0.8611,41.653,0.299,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
210,2,258.9,0.0537,2.838,0.021,1.8920,0.731,0.5531,29.234,0.214,1.2991,68.663,0.502,2.0127,106.379,0.777,8.2548,436.300,3.188,0.6066,32.061,0.234,2.9113,153.874,1.124,0.6893,36.432,0.266,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
211,29,446.6,0.0524,2.578,0.012,2.0328,0.455,1.1043,54.324,0.247,1.5645,76.963,0.350,2.9806,146.625,0.667,11.7446,577.755,2.630,0.7461,36.703,0.167,3.2295,158.870,0.723,0.5730,28.188,0.128,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
212,29,477.6,0.0548,2.462,0.011,2.2260,0.466,1.2358,55.517,0.259,1.7451,78.396,0.365,2.7670,124.304,0.579,13.1644,591.393,2.756,0.7228,32.471,0.151,3.7923,170.364,0.794,0.4158,18.679,0.087,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
213,29,531.2,0.0481,1.981,0.009,2.4280,0.457,1.1910,49.053,0.224,1.9597,80.713,0.369,3.5007,144.180,0.659,16.0326,660.321,3.018,0.7605,31.322,0.143,3.2938,135.659,0.620,0.6836,28.155,0.129,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
214,29,470.1,0.0618,2.892,0.013,2.1368,0.455,1.3054,61.091,0.278,1.8273,85.516,0.389,3.0038,140.575,0.639,13.8989,650.454,2.957,0.9461,44.276,0.201,3.5307,165.233,0.751,0.5944,27.817,0.126,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
215,29,556.0,0.0772,3.391,0.014,2.2766,0.409,1.3695,60.155,0.246,1.9312,84.828,0.347,3.5326,155.170,0.635,17.0927,750.799,3.074,1.0031,44.061,0.180,4.1132,180.673,0.740,0.7866,34.552,0.141,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
301,2,238.1,0.0515,2.509,0.022,2.0528,0.862,0.6290,30.641,0.264,1.2605,61.404,0.529,2.1072,102.650,0.885,7.3470,357.901,3.086,0.6182,30.115,0.260,2.9522,143.813,1.240,0.4715,22.969,0.198,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
302,2,305.9,0.0538,2.707,0.018,1.9872,0.650,0.6148,30.938,0.201,1.2527,63.038,0.410,2.3459,118.051,0.767,9.2229,464.115,3.015,0.6911,34.778,0.226,3.0220,152.073,0.988,0.6928,34.863,0.226,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
303,2,316.2,0.0482,2.348,0.015,2.0528,0.649,0.5770,28.108,0.182,1.3736,66.913,0.434,2.3346,113.728,0.738,9.7323,474.099,3.078,0.5886,28.673,0.186,3.1649,154.175,1.001,0.7047,34.329,0.223,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
304,2,282.1,0.0531,2.648,0.019,2.0050,0.711,0.6858,34.204,0.243,1.1638,58.045,0.413,2.0071,100.105,0.711,8.9346,445.616,3.167,0.6274,31.292,0.222,3.0645,152.843,1.086,0.7157,35.696,0.254,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
305,2,277.9,0.0535,2.697,0.019,1.9838,0.714,0.6179,31.147,0.222,1.1653,58.741,0.419,2.0250,102.077,0.729,8.1887,412.779,2.947,0.6302,31.767,0.227,3.1068,156.609,1.118,0.6141,30.956,0.221,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
