 Run ID	Sample No.	Animal ID	Group	Dose (mg)	Matrix	Nominal Timepoint (Day)	LLOQ (ng/g)	Concentration (ng/g)	Dilution
AN423.0-24_01_AB01	250	453	4	200	Brain, hippocampus (BRHI)	2	20	35,522.7	10
AN423.0-24_01_AB01	251	454	4	200	Brain, hippocampus (BRHI)	2	20	87,722.3	10
AN423.0-24_01_AB01	252	455	4	200	Brain, hippocampus (BRHI)	29	20	23,981.9	10
AN423.0-24_01_AB02	16	101	1	0	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	17	102	1	0	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	18	103	1	0	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	19	104	1	0	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	20	105	1	0	Brain, caudate (BRCA)	29	20	BQL	1
AN423.0-24_01_AB02	21	106	1	0	Brain, caudate (BRCA)	29	20	BQL	1
AN423.0-24_01_AB02	22	151	1	0	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	23	152	1	0	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	24	153	1	0	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	25	154	1	0	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	26	155	1	0	Brain, caudate (BRCA)	29	20	BQL	1
AN423.0-24_01_AB02	27	156	1	0	Brain, caudate (BRCA)	29	20	BQL	1
AN423.0-24_01_AB02	28	201	2	20	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	29	202	2	20	Brain, caudate (BRCA)	2	20	26.7	1
AN423.0-24_01_AB02	30	203	2	20	Brain, caudate (BRCA)	2	20	BQL	1
AN423.0-24_01_AB02	31	204	2	20	Brain, caudate (BRCA)	2	20	174.3	1
AN423.0-24_01_AB02	32	205	2	20	Brain, caudate (BRCA)	29	20	1,429.0	1
AN423.0-24_01_AB02	33	206	2	20	Brain, caudate (BRCA)	29	20	57.5	1
AN423.0-24_01_AB02	34	251	2	20	Brain, caudate (BRCA)	2	20	30.7	1
AN423.0-24_01_AB02	35	252	2	20	Brain, caudate (BRCA)	2	20	34.3	1
AN423.0-24_01_AB02	36	253	2	20	Brain, caudate (BRCA)	2	20	49.8	1
AN423.0-24_01_AB02	42	254	2	20	Brain, caudate (BRCA)	2	20	234.2	1
AN423.0-24_01_AB02	43	255	2	20	Brain, caudate (BRCA)	29	20	25.5	1
AN423.0-24_01_AB02	44	256	2	20	Brain, caudate (BRCA)	29	20	BQL	1
AN423.0-24_01_AB02	45	301	3	60	Brain, caudate (BRCA)	2	20	84.7	1
AN423.0-24_01_AB02	46	303	3	60	Brain, caudate (BRCA)	2	20	119.3	1
AN423.0-24_01_AB02	47	304	3	60	Brain, caudate (BRCA)	2	20	385.4	1
AN423.0-24_01_AB02	48	351	3	60	Brain, caudate (BRCA)	2	20	21.2	1
AN423.0-24_01_AB02	49	353	3	60	Brain, caudate (BRCA)	2	20	28.7	1
AN423.0-24_01_AB02	50	354	3	60	Brain, caudate (BRCA)	2	20	27.9	1
AN423.0-24_01_AB02	51	402	4	200	Brain, caudate (BRCA)	2	20	111.4	1
AN423.0-24_01_AB02	52	403	4	200	Brain, caudate (BRCA)	2	20	46.3	1
AN423.0-24_01_AB02	53	404	4	200	Brain, caudate (BRCA)	2	20	451.0	1
AN423.0-24_01_AB02	54	406	4	200	Brain, caudate (BRCA)	29	20	132.7	1
AN423.0-24_01_AB02	55	451	4	200	Brain, caudate (BRCA)	2	20	72.7	1
AN423.0-24_01_AB02	56	452	4	200	Brain, caudate (BRCA)	2	20	57.7	1
