Run ID	Sample No.	Animal ID	Group	core vs recovery	Dose (mg)	Sex	Matrix	Type of Matrix Specimen	Study Day	Collection Date	Nominal Time Point (hours)	LLOQ (ng/mL)	Concentration (ng/mL)
AN411.0-24_01_AB03	80	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,678.10
AN411.0-24_01_AB01	179	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	495.7
AN411.0-24_01_AB01	192	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	49.9
AN411.0-24_01_AB03	202	306	3	recovery	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	1.8
AN411.0-24_01_AB03	210	306	3	recovery	60	M	Plasma	n.a.	3	19-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	214	306	3	recovery	60	M	Plasma	n.a.	4	20-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	186	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	71	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	4,964.40
AN411.0-24_01_AB03	81	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	2,203.40
AN411.0-24_01_AB01	180	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	342.1
AN411.0-24_01_AB01	193	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	34
AN411.0-24_01_AB03	203	351	3	core	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	1.3
AN411.0-24_01_AB03	187	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	255	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	125.7
AN411.0-24_01_AB03	82	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	1,866.40
AN411.0-24_01_AB01	181	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	820.3
AN411.0-24_01_AB01	194	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	161.6
AN411.0-24_01_AB03	204	352	3	core	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	25.4
AN411.0-24_01_AB03	188	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	72	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	9,655.50
AN411.0-24_01_AB03	83	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	2,410.80
AN411.0-24_01_AB01	182	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	258.7
AN411.0-24_01_AB01	201	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	35.7
AN411.0-24_01_AB03	205	353	3	core	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	1.2
AN411.0-24_01_AB03	189	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	73	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	9,282.10
AN411.0-24_01_AB03	84	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	2,680.10
AN411.0-24_01_AB01	183	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	155
AN411.0-24_01_AB01	202	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	21.3
AN411.0-24_01_AB03	206	354	3	core	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	190	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	74	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	2,261.80
AN411.0-24_01_AB03	85	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	3,010.60
AN411.0-24_01_AB01	184	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	435.6
AN411.0-24_01_AB01	203	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	98
AN411.0-24_01_AB03	207	355	3	recovery	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	6.5
AN411.0-24_01_AB03	211	355	3	recovery	60	F	Plasma	n.a.	3	19-Jul-2024	48	1	0.5
