study_id	qpcr_id	region	well	sample_id	sample_group	target	control	target_ct	control_ct	delta_ct	twoddct	mincol	platecolincrement	biorep
CMR-1313	JES0013	VC	F5		saline	IBA1	TBP	23.839508056640625	27.124366760253906	-3.2848587036132812	0.9173093022549725	4	2	CMR-1313-JES0013-F4-5
CMR-1313	JES0013	VC	H4		NTC	IBA1	TBP	23.242870330810547	26.837808609008789	-3.594938278198242	1.1372581311333643	4	2	CMR-1313-JES0013-H4-5
CMR-1313	JES0013	VC	H5		NTC	IBA1	TBP	22.96571159362793	26.331935882568359	-3.3662242889404297	0.9705307040265994	4	2	CMR-1313-JES0013-H4-5
CMR-1313	JES0013	VC	I4		NTC	IBA1	TBP	23.309629440307617	26.664728164672852	-3.3550987243652344	0.963075091813317	4	2	CMR-1313-JES0013-I4-5
CMR-1313	JES0013	VC	I5		NTC	IBA1	TBP	23.161602020263672	26.551395416259766	-3.3897933959960938	0.9865163504631109	4	2	CMR-1313-JES0013-I4-5
CMR-1313	JES0013	VC	J4		NTC	IBA1	TBP	24.77055549621582	28.289754867553711	-3.5191993713378906	1.0790942237295809	4	2	CMR-1313-JES0013-J4-5
CMR-1313	JES0013	VC	J5		NTC	IBA1	TBP	24.399568557739258	28.003335952758789	-3.6037673950195312	1.1442393518224596	4	2	CMR-1313-JES0013-J4-5
CMR-1313	JES0013	VC	K4		NTC	IBA1	TBP	23.667949676513672	27.26255989074707	-3.5946102142333984	1.136999551888199	4	2	CMR-1313-JES0013-K4-5
CMR-1313	JES0013	VC	K5		NTC	IBA1	TBP	23.639005661010742	27.180501937866211	-3.5414962768554688	1.0959012068292882	4	2	CMR-1313-JES0013-K4-5
CMR-1313	JES0013	VC	L4		NTC	IBA1	TBP	24.27168083190918	27.62034797668457	-3.3486671447753906	0.9587912288413346	4	2	CMR-1313-JES0013-L4-5
CMR-1313	JES0013	VC	L5		NTC	IBA1	TBP	24.020679473876953	27.364906311035156	-3.344226837158203	0.95584481049319725	4	2	CMR-1313-JES0013-L4-5
CMR-1313	JES0013	VC	M4		NTC	IBA1	TBP	24.68853759765625	27.968521118164062	-3.2799835205078125	0.9142147443825269	4	2	CMR-1313-JES0013-M4-5
CMR-1313	JES0013	VC	M5		NTC	IBA1	TBP	24.115398406982422	27.393302917480469	-3.277904510498047	0.9128982549479759	4	2	CMR-1313-JES0013-M4-5
CMR-1313	JES0013	VC	A14		2440-hiPS	IBA1	TBP	22.100030899047852	26.375127792358398	-4.275096893310547	1.8222467971822895	14	2	CMR-1313-JES0013-A14-15
CMR-1313	JES0013	VC	A15		2440-hiPS	IBA1	TBP	22.030765533447266	26.336875915527344	-4.306110382080078	1.8618435559450612	14	2	CMR-1313-JES0013-A14-15
CMR-1313	JES0013	VC	B14		2440-hiPS	IBA1	TBP	23.526662826538086	26.916593551635742	-3.3899307250976562	0.9866102607133361	14	2	CMR-1313-JES0013-B14-15
CMR-1313	JES0013	VC	B15		2440-hiPS	IBA1	TBP	23.47218132019043	26.819723129272461	-3.3475418090820312	0.9580436409843087	14	2	CMR-1313-JES0013-B14-15
CMR-1313	JES0013	VC	C14		2440-hiPS	IBA1	TBP	24.224977493286133	27.640108108520508	-3.415130615234375	1.0039950014648127	14	2	CMR-1313-JES0013-C14-15
CMR-1313	JES0013	VC	C15		2440-hiPS	IBA1	TBP	24.062723159790039	27.427730560302734	-3.3650074005126953	0.9697124232390248	14	2	CMR-1313-JES0013-C14-15
CMR-1313	JES0013	VC	D14		2440-hiPS	IBA1	TBP	23.63694953918457	27.139516830444336	-3.5025672912597656	1.066725342374733	14	2	CMR-1313-JES0013-D14-15
CMR-1313	JES0013	VC	D15		2440-hiPS	IBA1	TBP	23.565458297729492	27.086475372314453	-3.521017074584961	1.0804546701184643	14	2	CMR-1313-JES0013-D14-15
CMR-1313	JES0013	VC	E14		2440-hiPS	IBA1	TBP	24.050603866577148	27.394067764282227	-3.343463897705078	0.9553394653540901	14	2	CMR-1313-JES0013-E14-15
CMR-1313	JES0013	VC	E15		2440-hiPS	IBA1	TBP	23.921657562255859	27.258993148803711	-3.3373355865478516	0.9512899606135641	14	2	CMR-1313-JES0013-E14-15
CMR-1313	JES0013	VC	F14		2440-hiPS	IBA1	TBP	24.493865966796875	27.77515983581543	-3.2812938690185547	0.9150454702689107	14	2	CMR-1313-JES0013-F14-15
CMR-1313	JES0013	VC	F15		2440-hiPS	IBA1	TBP	24.274715423583984	27.545951843261719	-3.2712364196777344	0.9086886040359061	14	2	CMR-1313-JES0013-F14-15
CMR-1313	JES0013	VC	G14		2440-hiPS	IBA1	TBP	23.465171813964844	26.854185104370117	-3.3890132904052734	0.9859830576551859	14	2	CMR-1313-JES0013-G14-15
