run_id	sample_no	animal_id	group	dose_mg	matrix	nominal_timepoint	lloq	concentration	concentration_ug_g	lloq_ug_g	x	color	dose_y	hours
AN411.0-24_01_AB01	129	206	2	20	Plasma	0.5	1	4.8	0.0048	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	160	206	2	20	Plasma	1	1	0.5	5e-4	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	168	206	2	20	Plasma	2	1	0.5	5e-4	0.001	2	#f768a1	3	48
AN411.0-24_01_AB03	177	206	2	20	Plasma	3	1	0.5	5e-4	0.001	2	#f768a1	3	72
AN411.0-24_01_AB03	144	251	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	80	251	2	20	Plasma	0.020833333333333332	1	311.1	0.31110000000000004	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	98	251	2	20	Plasma	0.16666666666666666	1	116.5	0.1165	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	111	251	2	20	Plasma	0.3333333333333333	1	21.9	0.0219	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	130	251	2	20	Plasma	0.5	1	5.3	0.0053	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	161	251	2	20	Plasma	1	1	0.5	5e-4	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	150	252	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	81	252	2	20	Plasma	0.020833333333333332	1	288.6	0.2886	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	99	252	2	20	Plasma	0.16666666666666666	1	139.2	0.1392	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	112	252	2	20	Plasma	0.3333333333333333	1	82.4	0.0824	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	131	252	2	20	Plasma	0.5	1	30.3	0.0303	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	162	252	2	20	Plasma	1	1	1.3	0.0013	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	151	253	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	82	253	2	20	Plasma	0.020833333333333332	1	832.1	0.8321000000000001	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	100	253	2	20	Plasma	0.16666666666666666	1	140.9	0.1409	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	119	253	2	20	Plasma	0.3333333333333333	1	31.1	0.031100000000000003	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	132	253	2	20	Plasma	0.5	1	10	0.01	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	163	253	2	20	Plasma	1	1	0.5	5e-4	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	152	254	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	83	254	2	20	Plasma	0.020833333333333332	1	184.7	0.18469999999999998	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	101	254	2	20	Plasma	0.16666666666666666	1	292.2	0.2922	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	120	254	2	20	Plasma	0.3333333333333333	1	58.3	0.0583	0.001	2	#f768a1	3	8
