cohort	dpi	mean	sd	n	l95	u95
YB-1682-126	239	0.041482713322374486	0.09530019833575858	6	-0.03477332705844894	0.11773875370319792
YB-1682-126	242	0.02811684213813742	0.06924960992958311	6	-0.027294386205184235	0.08352807048145908
YB-1682-126	244	0.028237271749714504	0.06563509406195644	6	-0.024281741542933482	0.08075628504236249
YB-1682-126	246	0.03120841345088284	0.10975211411288985	6	-0.056611567953426076	0.11902839485519175
YB-1682-126	249	0.03419718537745666	0.10690321305932501	6	-0.05134320041660791	0.11973757117152123
YB-1682-126	251	-0.017727886360995686	0.2015764148360996	6	-0.17902261080015308	0.14356683807816173
YB-1682-126	253	0.055927994723644736	0.07843167542281343	5	-0.012820399947522529	0.124676389394812
YB-1682-126	256	0.053261546547388995	0.09155139229789859	5	-0.02698678700484896	0.13350988009962694
YB-1682-126	258	0.017326748212063946	0.09207387411045159	5	-0.06337956084132532	0.09803305726545322
YB-1682-126	263	0.007166763373625628	0.08995131186812472	5	-0.07167903784331928	0.08601256459057052
YB-1682-126	265	0.02630554190573478	0.08750005956066129	4	-0.05944451646371328	0.11205560027518284
YB-1682-126	267	0.026691017196768668	0.07756307614503984	4	-0.049320797425370363	0.1027028318189077
YB-1682-126	270	0.02975562883705904	0.10342398714278042	4	-0.07159987856286577	0.13111113623698384
YB-1682-126	272	0.02421442152844752	0.10859657899114879	4	-0.08221022588287828	0.13063906893977334
YB-1682-126	274	-0.013187650724220235	0.05101766127650819	3	-0.07091956924819785	0.044544267799757384
YB-1682-126	279	-0.01880837640061661	0.09407927068885752	3	-0.1252690932250727	0.08765234042383949
YB-1682-126	281	-0.02777586167252999	0.0999424684131321	3	-0.14087141131445308	0.0853196879693931
YB-1682-126	284	-0.024589265933316857	0.09096518431178759	3	-0.12752606228593405	0.07834753041930034
YB-1682-126	286	-0.025019262493344335	0.1092322970668092	3	-0.14862724288016232	0.09858871789347365
YB-1682-126	288	-0.03418072524358214	0.071759957089587	3	-0.11538476110729187	0.047023310620127594
YB-1682-126	293	-0.01736273134716626	0.10608120194921264	3	-0.13740491192978674	0.10267944923545422
YB-1682-126	295	-0.017167175899814386	0.10223521052968863	3	-0.13285720748696303	0.09852285568733427
YB-NTC-126	60	0	0	10	0	0
YB-NTC-126	71	0.01696334225351348	0.02875965823046603	10	-8.620785947974739e-4	0.03478876310182444
YB-NTC-126	78	0.025059318938589627	0.040425225089889875	10	3.504841618373611e-6	0.05011513303556088
YB-NTC-126	85	0.03382968119100592	0.044222593712234075	10	0.006420233637509435	0.06123912874450241
YB-NTC-126	92	0.03929884646405607	0.046466211491351606	10	0.010498790203911031	0.0680989027242011
YB-NTC-126	99	0.05612301878841793	0.04814354099077673	10	0.02628334293373729	0.08596269464309858
YB-NTC-126	106	0.058120962889130434	0.0508706668865742	10	0.026590996892287375	0.0896509288859735
YB-NTC-126	113	0.04419562303065927	0.05346070523763057	10	0.01106033463217733	0.07733091142914121
YB-NTC-126	116	0.06311239010170662	0.0537113983460755	10	0.029821720504811543	0.09640305969860169
YB-NTC-126	118	0.0682510594175614	0.05430810161328314	10	0.03459054930398485	0.10191156953113796
YB-NTC-126	120	0.030441436636179174	0.062172085086981715	10	-0.00809322093212421	0.06897609420448256
YB-NTC-126	123	0.03647470089697089	0.055104285485038026	10	0.0023207109070711093	0.07062869088687068
YB-NTC-126	125	0.02981201120095594	0.05731401944009321	9	-0.007633148166571624	0.0672571705684835
YB-NTC-126	127	0.03040384066012938	0.05791705519533544	9	-0.007435302067489772	0.06824298338774853
YB-NTC-126	130	0.03342219378435025	0.0638467499949031	9	-0.008291016212319778	0.07513540378102027
YB-NTC-126	132	0.006717450521691235	0.058526173377674635	9	-0.03151964941838953	0.04495455046177199
YB-NTC-126	137	-4.671090427179367e-4	0.057849264763896006	9	-0.03826196202179666	0.03732774393636079
YB-NTC-126	139	0.002624862922670822	0.054764145019445654	9	-0.03315437849003367	0.03840410433537531
YB-NTC-126	141	0.003904783875121831	0.05556524880689403	9	-0.032397845345382266	0.04020741309562593
YB-NTC-126	144	0.005947002773748735	0.05917363499587402	9	-0.03271310542355563	0.04460711097105309
YB-NTC-126	146	-0.006862652499001161	0.09857043446355648	9	-0.0712620030151914	0.057536698017189074
YB-NTC-126	148	-0.01098329087085771	0.09808143612868855	9	-0.07506316247493423	0.05309658073321881
YB-NTC-126	151	-0.006639631413637338	0.10068086347843137	9	-0.07241779555287917	0.05913853272560449
YB-NTC-126	153	-0.025029631059204773	0.09130899159360814	9	-0.08468483890036209	0.03462557678195255
YB-NTC-126	155	-0.02202507928904228	0.09302897440761228	9	-0.08280400923534897	0.03875385065726441
YB-NTC-126	158	-0.022227014988609423	0.09461392525519588	9	-0.0840414461553374	0.03958741617811855
YB-NTC-126	160	-0.042068414432898736	0.12496088372576312	9	-0.12370952513373065	0.03957269626793317
YB-NTC-126	162	-0.10203193166556977	0.15620960291211067	6	-0.22702564621766957	0.02296178288653003
YB-NTC-126	165	-0.04155950918576754	0.171582386508013	6	-0.1788540124783555	0.09573499410682043
YB-NTC-126	167	-0.0042535491154324315	0.14853623235403357	5	-0.1344512972802389	0.12594419904937404
YB-NTC-126	169	0.031014320518609473	0.12387364331005792	4	-0.09038184992524728	0.15241049096246623
YB-NTC-126	172	0.04117462962889826	0.14614143954921635	4	-0.10204398112933377	0.18439324038713029
YB-NTC-126	174	0.00957521689544305	0.13993192015814146	4	-0.12755806485953558	0.14670849865042168
YB-NTC-126	176	-0.013448228348961755	0.13879598439428853	4	-0.14946829305536452	0.12257183635744101
YB-NTC-126	179	-0.014789605605953493	0.16632706597716596	4	-0.17779013026357612	0.14821091905166914
YB-NTC-126	181	0.03470703592098345	0.18698918981051	3	-0.17689115186140658	0.2463052237033735
YB-NTC-126	184	0.007512157012802796	0.17300560782791052	3	-0.18826211811868476	0.20328643214429037
YB-NTC-126	188	-0.027061909089459785	0.21840179629360265	3	-0.274206807417414	0.22008298923849443
YB-saline-126	60	0	0	8	0	0
YB-saline-126	71	0.019035623342543884	0.020986188807590785	8	0.004492936453777388	0.03357831023131038
YB-saline-126	78	0.017519231547493214	0.03122127233314003	8	-0.004116006368861336	0.03915446946384776
YB-saline-126	85	0.024527271596553046	0.03567058663930832	8	-1.9118383097297895e-4	0.049245727024079075
YB-saline-126	92	0.026199083565339468	0.04241189038383565	8	-0.0031908570221442327	0.05558902415282317
YB-saline-126	99	0.0551149642446386	0.04667301586042782	8	0.022772214351569522	0.08745771413770768
YB-saline-126	106	0.05961264481784591	0.05304445594652784	8	0.022854712203787805	0.09637057743190401
YB-saline-126	113	0.01814551981580563	0.04840327576128069	8	-0.015396239016189507	0.05168727864780077
YB-saline-126	116	0.06293073280424477	0.05698354850861214	8	0.0234431483090628	0.10241831729942674
YB-saline-126	118	0.06349173564906613	0.05888388430325053	8	0.022687285633502224	0.10429618566463003
YB-saline-126	120	0.04976781942258826	0.042693932779448426	8	0.020182433426395068	0.07935320541878145
YB-saline-126	123	0.04584760251309644	0.0473589866944992	8	0.013029499084128655	0.07866570594206423
YB-saline-126	125	0.028572126926846603	0.05511692801991556	8	-0.009621955562985451	0.06676620941667866
YB-saline-126	127	0.027649570238152454	0.05902904697371973	8	-0.013255472375902085	0.06855461285220699
YB-saline-126	130	0.03141836874837489	0.06244874247931707	8	-0.01185640194964866	0.07469313944639844
YB-saline-126	132	6.845743269693338e-4	0.053706356343722304	8	-0.03653203186122851	0.03790118051516718
YB-saline-126	137	-0.010571553178440232	0.052718253397772585	8	-0.047103438958918456	0.02596033260203799
YB-saline-126	139	-0.008259327612796977	0.04621835294283698	8	-0.04028701217832716	0.02376835695273321
YB-saline-126	141	-0.010120541793253321	0.04190745127989953	8	-0.0391609239158699	0.01891984032936326
YB-saline-126	144	-0.004750182490584051	0.040799286360980326	8	-0.03302264550293664	0.023522280521768534
YB-saline-126	146	-0.038503552513411254	0.0427901724514486	8	-0.06815562919980113	-0.00885147582702138
